Ставьте рекорды;🎯
Ведите статистику своих достижений;📊
Делайте подарки;🎁
Помогайте другим;🤲
Говорите комплименты;💝
Благодарите;🙏
Улыбайтесь незнакомцам;😊
Меняйте привычки постепенно;🔄
Начинайте с малого;🌱
Будьте настойчивы;💪
Доверяйте интуиции;🧠
Любите себя;❤️
Наслаждайтесь жизнью;🌈
